READ SERR 1
@_compps_qdp_tmp.pco
!
0.111559667 6.42181956E-4 1.12501255E-7
0.112851463 6.49618043E-4 1.14203544E-7
0.114158221 6.57140277E-4 1.15920805E-7
0.11548011 6.6474959E-4 1.17652817E-7
0.11681731 6.7244703E-4 1.19399346E-7
0.118169986 6.80233643E-4 1.21160127E-7
0.11953833 6.88110362E-4 1.22934892E-7
0.120922521 6.96078292E-4 1.24723371E-7
0.122322738 7.04138482E-4 1.26525265E-7
0.123739168 7.12292036E-4 1.28340261E-7
0.125172004 7.20540003E-4 1.30168047E-7
0.126621425 7.2888349E-4 1.32008267E-7
0.128087625 7.37323542E-4 1.33860581E-7
0.129570812 7.45861325E-4 1.35724605E-7
0.13107118 7.54498004E-4 1.37599955E-7
0.132588908 7.63234682E-4 1.39486161E-7
0.134124219 7.72072526E-4 1.41382785E-7
0.135677308 7.81012699E-4 1.43289341E-7
0.137248367 7.90056423E-4 1.45205348E-7
0.138837636 7.99204805E-4 1.47130308E-7
0.140445292 8.08459183E-4 1.49063666E-7
0.142071575 8.17820721E-4 1.51004912E-7
0.143716693 8.27290583E-4 1.52953447E-7
0.145380855 8.36870167E-4 1.54908719E-7
0.147064283 8.46560695E-4 1.56870129E-7
0.148767203 8.56363389E-4 1.5883704E-7
0.150489852 8.66279588E-4 1.60808838E-7
0.152232438 8.76310689E-4 1.62784858E-7
0.153995201 8.86457856E-4 1.64764444E-7
0.155778378 8.96722544E-4 1.66746901E-7
0.157582209 9.07106092E-4 1.68731518E-7
0.15940693 9.17609897E-4 1.70717584E-7
0.161252782 9.28235357E-4 1.72704361E-7
0.163119987 9.38983809E-4 1.74691081E-7
0.165008828 9.49856709E-4 1.7667692E-7
0.166919544 9.60855512E-4 1.78661068E-7
0.168852389 9.71981732E-4 1.80642616E-7
0.1708076 9.83236707E-4 1.8262071E-7
0.172785461 9.94622125E-4 1.84594427E-7
0.174786225 1.00613921E-3 1.86562858E-7
0.176810145 1.01778982E-3 1.88525064E-7
0.17885752 1.02957524E-3 1.90480094E-7
0.180928588 1.04149722E-3 1.92426967E-7
0.183023646 1.05355715E-3 1.94364716E-7
0.185142964 1.06575678E-3 1.96292319E-7
0.187286809 1.07809762E-3 1.98208767E-7
0.189455494 1.09058141E-3 2.00113035E-7
0.191649288 1.1032098E-3 2.02004088E-7
0.193868473 1.11598428E-3 2.03880845E-7
0.196113363 1.12890685E-3 2.05742268E-7
0.198384255 1.14197889E-3 2.07587263E-7
0.200681433 1.15520239E-3 2.0941475E-7
0.20300521 1.1685791E-3 2.11223622E-7
0.205355912 1.18211051E-3 2.13012783E-7
0.20773381 1.19579874E-3 2.14781053E-7
0.21013926 1.20964542E-3 2.16527255E-7
0.21257256 1.22365251E-3 2.18250179E-7
0.215034038 1.23782177E-3 2.19948646E-7
0.217524007 1.25215505E-3 2.21621434E-7
0.22004281 1.26665423E-3 2.23267335E-7
0.222590789 1.2813214E-3 2.24885127E-7
0.225168273 1.29615841E-3 2.26473617E-7
0.227775604 1.31116726E-3 2.28031567E-7
0.230413109 1.32634991E-3 2.2955777E-7
0.233081177 1.34170824E-3 2.31051033E-7
0.23578012 1.35724456E-3 2.32510132E-7
0.238510326 1.37296063E-3 2.33933875E-7
0.241272151 1.38885877E-3 2.35321082E-7
0.244065955 1.40494108E-3 2.36670544E-7
0.246892095 1.42120942E-3 2.37981112E-7
0.249750972 1.43766636E-3 2.39251619E-7
0.252642959 1.45431375E-3 2.40480944E-7
0.255568415 1.47115381E-3 2.41667919E-7
0.258527756 1.48818898E-3 2.42811439E-7
0.261521369 1.50542147E-3 2.43910364E-7
0.264549643 1.52285339E-3 2.44963587E-7
0.267612994 1.54048717E-3 2.45969972E-7
0.270711809 1.55832525E-3 2.46928494E-7
0.273846507 1.57636974E-3 2.47838017E-7
0.277017504 1.59462332E-3 2.48697575E-7
0.280225217 1.61308818E-3 2.49506144E-7
0.283470064 1.63176679E-3 2.50262758E-7
0.286752492 1.65066181E-3 2.5096648E-7
0.290072918 1.66977558E-3 2.51616456E-7
0.293431818 1.68911065E-3 2.52211748E-7
0.296829581 1.70866959E-3 2.5275159E-7
0.300266713 1.72845507E-3 2.53235214E-7
0.303743631 1.74846966E-3 2.53661824E-7
0.307260841 1.76871591E-3 2.54030766E-7
0.310818732 1.78919674E-3 2.54341387E-7
0.314417839 1.8099146E-3 2.5459309E-7
0.31805864 1.8308725E-3 2.54785277E-7
0.321741581 1.85207301E-3 2.54917495E-7
0.325467169 1.87351892E-3 2.54989288E-7
0.329235911 1.89521327E-3 2.55000231E-7
0.333048284 1.91715884E-3 2.5495001E-7
0.336904794 1.93935854E-3 2.54838312E-7
0.340805978 1.96181517E-3 2.5466494E-7
0.344752312 1.98453199E-3 2.54429722E-7
0.348744363 2.00751168E-3 2.54132544E-7
0.352782637 2.03075772E-3 2.53773379E-7
0.356867671 2.05427269E-3 2.53352255E-7
0.361000001 2.07806006E-3 2.52869228E-7
0.365180165 2.10212287E-3 2.5232444E-7
0.369408756 2.12646439E-3 2.51718149E-7
0.373686314 2.15108762E-3 2.51050579E-7
0.378013402 2.17599608E-3 2.50322103E-7
0.382390589 2.20119278E-3 2.49533116E-7
0.386818469 2.22668145E-3 2.48684103E-7
0.391297609 2.25246535E-3 2.47775574E-7
0.395828635 2.2785475E-3 2.46808128E-7
