READ SERR 1
@_compps_qdp_tmp.pco
!
7.4560225E-2 4.29198408E-4 5.40689598E-7
7.54235908E-2 4.34168294E-4 5.50554716E-7
7.62969553E-2 4.39195719E-4 5.60564843E-7
7.71804303E-2 4.44281352E-4 5.70721056E-7
7.80741349E-2 4.4942589E-4 5.8102421E-7
7.89781958E-2 4.54630004E-4 5.914751E-7
7.98927173E-2 4.59894363E-4 6.02074635E-7
8.08178335E-2 4.65219695E-4 6.12823555E-7
8.17536563E-2 4.70606697E-4 6.23722599E-7
8.27003196E-2 4.7605607E-4 6.34772391E-7
8.36579427E-2 4.81568539E-4 6.4597333E-7
8.46266598E-2 4.87144833E-4 6.5732587E-7
8.56065899E-2 4.92785708E-4 6.6883041E-7
8.65978673E-2 4.98491863E-4 6.80487176E-7
8.76006261E-2 5.04264142E-4 6.92296453E-7
8.86149928E-2 5.10103244E-4 7.04258355E-7
8.96411017E-2 5.16009983E-4 7.16373052E-7
9.06791016E-2 5.21985115E-4 7.28640487E-7
9.1729112E-2 5.28029399E-4 7.4106066E-7
9.27912891E-2 5.34143706E-4 7.53633458E-7
9.38657597E-2 5.40328794E-4 7.66358653E-7
9.49526727E-2 5.46585477E-4 7.79235904E-7
9.60521698E-2 5.52914629E-4 7.92264984E-7
9.71644074E-2 5.59317123E-4 8.05445325E-7
9.82895121E-2 5.65793656E-4 8.18776414E-7
9.94276553E-2 5.72345278E-4 8.32257626E-7
0.100578971 5.78972686E-4 8.4588828E-7
0.101743624 5.85676928E-4 8.59667523E-7
0.102921762 5.92458702E-4 8.73594445E-7
0.104113534 5.99319057E-4 8.87667795E-7
0.105319113 6.06258865E-4 9.01886096E-7
0.106538653 6.13279E-4 9.16247814E-7
0.107772313 6.20380451E-4 9.30751298E-7
0.109020256 6.27564092E-4 9.45394618E-7
0.110282652 6.34830969E-4 9.60175953E-7
0.111559667 6.42181956E-4 9.7509303E-7
0.112851463 6.49618043E-4 9.90143803E-7
0.114158221 6.57140277E-4 1.00532588E-6
0.11548011 6.6474959E-4 1.02063677E-6
0.11681731 6.7244703E-4 1.03607363E-6
0.118169986 6.80233643E-4 1.05163394E-6
0.11953833 6.88110362E-4 1.06731466E-6
0.120922521 6.96078292E-4 1.08311258E-6
0.122322738 7.04138482E-4 1.09902464E-6
0.123739168 7.12292036E-4 1.11504733E-6
0.125172004 7.20540003E-4 1.13117721E-6
0.126621425 7.2888349E-4 1.14741056E-6
0.128087625 7.37323542E-4 1.16374338E-6
0.129570812 7.45861325E-4 1.18017169E-6
0.13107118 7.54498004E-4 1.19669096E-6
0.132588908 7.63234682E-4 1.21329617E-6
0.134124219 7.72072526E-4 1.22998222E-6
0.135677308 7.81012699E-4 1.24674364E-6
0.137248367 7.90056423E-4 1.26357497E-6
0.138837636 7.99204805E-4 1.28047054E-6
0.140445292 8.08459183E-4 1.29742432E-6
0.142071575 8.17820721E-4 1.31443028E-6
0.143716693 8.27290583E-4 1.33148194E-6
0.145380855 8.36870167E-4 1.34857294E-6
0.147064283 8.46560695E-4 1.36569633E-6
0.148767203 8.56363389E-4 1.38284543E-6
0.150489852 8.66279588E-4 1.40001293E-6
0.152232438 8.76310689E-4 1.41719158E-6
0.153995201 8.86457856E-4 1.43437387E-6
0.155778378 8.96722544E-4 1.45155218E-6
0.157582209 9.07106092E-4 1.46871844E-6
0.15940693 9.17609897E-4 1.48586469E-6
0.161252782 9.28235357E-4 1.50298274E-6
0.163119987 9.38983809E-4 1.52006396E-6
0.165008828 9.49856709E-4 1.53709891E-6
0.166919544 9.60855512E-4 1.55407804E-6
0.168852389 9.71981732E-4 1.57099123E-6
0.1708076 9.83236707E-4 1.58782814E-6
0.172785461 9.94622125E-4 1.60457842E-6
0.174786225 1.00613921E-3 1.62123149E-6
0.176810145 1.01778982E-3 1.63777656E-6
0.17885752 1.02957524E-3 1.65420249E-6
0.180928588 1.04149722E-3 1.67049825E-6
0.183023646 1.05355715E-3 1.68665258E-6
0.185142964 1.06575678E-3 1.70265378E-6
0.187286809 1.07809762E-3 1.71849047E-6
0.189455494 1.09058141E-3 1.7341506E-6
0.191649288 1.1032098E-3 1.74962258E-6
0.193868473 1.11598428E-3 1.76489414E-6
