# Per-line escape summary  iter=25
# Sorted by slab-integrated escaped line power.
# Col 1: rank
# Col 2: line_ip [Cloudy LineSave index]
# Col 3: E_eV
# Col 4: Cloudy wavelength label value
# Col 5: thin_line_power [erg cm^-3 s^-1, depth-summed]
# Col 6: escaped_line_power [erg cm^-3 s^-1, depth-summed]
# Col 7: continuum_destroyed_heat [erg cm^-3 s^-1, depth-summed]
# Col 8: escaped/thin
# Col 9: heat_dest/thin
# Col 10: mean_beta [thin-power weighted]
# Col 11: mean_Pelec [thin-power weighted]
# Col 12: mean_Pdest [thin-power weighted]
# Col 13: mean_y [thin-power weighted]
# Col 14: mean_tauT_emiss [thin-power weighted]
# Col 15: max_column_tau_line
# Col 16: Cloudy_label
# Col 17: Cloudy_comment
49	7685	8.701450980e+02	1.431262398e+01	2.010454483e+06	1.998171302e+06	1.228315999e+04	9.938903464e-01	6.109643415e-03	2.973645389e-01	1.564056605e-03	7.019335276e-04	1.701663021e-09	2.065485770e-03	1.695243444e+01	O  8                14.3126A 	H-like,   1^2S - n= 13
50	5706	4.575357316e+02	2.698977280e+01	2.184807034e+06	1.956522687e+06	2.282838758e+05	8.955128102e-01	1.044869740e-01	1.128184821e-01	2.538033012e-04	8.862952227e-04	2.364647720e-09	4.019201060e-03	5.393011198e+02	C  6                26.9898A 	H-like,   1^2S - n=  4
51	126654	5.859778688e+01	2.113170013e+02	2.276707911e+06	1.938559104e+06	6.922616680e+04	8.514746639e-01	3.040625741e-02	1.141535096e-02	1.704859662e-05	9.484325045e-05	3.527891827e-04	2.433639850e-03	1.726616113e+03	Fe14                211.317A 	Chianti, 
52	126639	4.574684650e+01	2.705199890e+02	2.259065285e+06	1.898950395e+06	9.070041528e+03	8.405911982e-01	4.014953259e-03	2.317446288e-02	3.305905142e-05	2.356529872e-05	8.797410018e-04	2.526494443e-03	8.594665984e+02	Fe14                270.520A 	Chianti, 
53	155689	3.398271110e+01	3.654090271e+02	2.261725937e+06	1.895496550e+06	2.146458909e+04	8.380752588e-01	9.490358111e-03	6.981093090e-02	9.441982440e-05	1.587383543e-04	2.569335308e-03	2.790362775e-03	3.334809891e+02	Si11                365.409A 	Chianti, 
54	20483	7.321364655e+02	1.692245293e+01	1.933934716e+06	1.870806496e+06	6.312812370e+04	9.673576259e-01	3.264232405e-02	2.739330581e-01	2.231437921e-03	7.253416003e-04	1.934660928e-09	5.657933793e-03	1.083656045e+02	O  7                16.9225A 	He-like,   1^1S - n= 10
55	151729	1.205769799e+01	1.031911987e+03	1.389931437e+07	1.834449560e+06	2.013076150e+03	1.319812986e-01	1.448327663e-04	2.385876995e-02	3.208545982e-05	1.384363615e-05	7.230852307e-02	2.247165212e-02	2.238169406e+04	O  6                1031.91A 	Chianti, 
56	125059	3.398271110e+01	3.644670105e+02	2.281890675e+06	1.820004940e+06	2.695478249e+04	7.975863873e-01	1.181247760e-02	1.246150715e-01	2.247779866e-04	3.807090249e-04	4.201482500e-03	5.021936403e-03	3.503259007e+02	Fe12                364.467A 	Chianti, 
57	7690	8.701450980e+02	1.430090618e+01	1.799953311e+06	1.791256900e+06	8.696396212e+03	9.951685353e-01	4.831456548e-03	3.158413139e-01	1.905371607e-03	6.834752109e-04	1.718924174e-09	2.068515892e-03	1.353276601e+01	O  8                14.3009A 	H-like,   1^2S - n= 14
58	126604	2.778161410e+01	4.473569946e+02	2.106960467e+06	1.736844711e+06	4.494139945e+03	8.243366394e-01	2.132996805e-03	3.414216636e-01	1.563061320e-03	6.579204160e-04	8.827042567e-02	2.754710857e-03	1.208551525e+01	Fe14                447.357A 	Chianti, 
59	125844	3.849745061e+01	3.207999878e+02	2.019510953e+06	1.733588421e+06	1.642652326e+04	8.584199151e-01	8.133911448e-03	9.141789430e-02	1.359753620e-04	1.593980846e-04	2.252795090e-03	3.453830520e-03	3.053711962e+02	Fe13                320.800A 	Chianti, 
60	2699	1.205769799e+01	1.025721924e+03	5.930436077e+06	1.711024532e+06	1.655210588e+04	2.885158038e-01	2.791043636e-03	6.034309905e-02	1.870136605e-04	8.439869731e-05	7.968355707e-03	1.066365204e-01	5.977124641e+10	H  1                1025.72A 	H-like,   1^2S - n=  3
61	153734	4.156848657e+01	2.995180054e+02	1.809788108e+06	1.637853513e+06	1.049565507e+04	9.049973891e-01	5.799383376e-03	8.078591624e-02	1.085254512e-04	1.013647812e-04	1.620375234e-03	2.577634608e-03	2.685798052e+02	S 12                299.518A 	Chianti, 
62	125849	3.886856443e+01	3.181300049e+02	1.911572943e+06	1.624372417e+06	1.509280892e+04	8.497569623e-01	7.895492020e-03	8.190439520e-02	1.195766600e-04	1.362968964e-04	2.124283335e-03	3.358516625e-03	3.377170721e+02	Fe13                318.130A 	Chianti, 
63	7695	8.701450980e+02	1.429146671e+01	1.574330606e+06	1.568171901e+06	6.158694413e+03	9.960880485e-01	3.911944791e-03	3.328606601e-01	2.288004296e-03	6.664728670e-04	1.734260761e-09	2.069338872e-03	1.097623305e+01	O  8                14.2915A 	H-like,   1^2S - n= 15
64	7710	1.639045372e+02	7.590151978e+01	1.546292540e+06	1.546274746e+06	1.779420314e+01	9.999884920e-01	1.150765633e-05	9.885160154e-01	8.444114058e-03	1.147251213e-05	9.675523205e-08	1.996075259e-03	5.955582646e-03	O  8                75.9015A 	H-like,   2^2S - n=  4
65	155434	3.497519959e+01	3.560369873e+02	1.890278732e+06	1.540820201e+06	2.031335222e+04	8.151285709e-01	1.074622059e-02	9.646433371e-02	1.441535584e-04	2.239787440e-04	2.634333538e-03	4.480507525e-03	7.024555762e+02	Si10                356.037A 	Chianti, 
66	25530	1.860586887e+03	6.688271999e+00	1.503717135e+06	1.502806819e+06	9.102020293e+02	9.993946226e-01	6.053013615e-04	6.226376656e-01	8.688334123e-03	3.769853490e-04	1.287145772e-07	1.863297273e-03	7.605148304e-01	Si13                6.68827A 	He-like,   1^1S -   2^3P_1.0
67	4379	7.534852459e+00	1.640412476e+03	1.510381730e+06	1.500589969e+06	1.303369447e+02	9.935170288e-01	8.629404216e-05	6.522922042e-01	9.785592648e-03	5.607818834e-05	1.275227889e-02	8.301004415e-03	8.656195960e-01	He 2                1640.41A 	H-like,   2^2S - n=  3
